caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
2010-004,2010-004-01,2010-004-01-01,2010-004-01-01-01-07,12/13/10,5,,131 S. Ct. 565,178 L. Ed. 2d 470,2010 U.S. LEXIS 9597,2010,1704,Roberts,08-1423,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",11/8/10,,252,,234,,1,,,0,,,29,,0,12,3,2,1,2,0,0,0,0,80190,8,2,0,3,,9,900,NA,,,1,4,4,112,SAAlito,8,1,,,,
2010-004,2010-004-01,2010-004-01-01,2010-004-01-01-01-08,12/13/10,5,,131 S. Ct. 565,178 L. Ed. 2d 470,2010 U.S. LEXIS 9597,2010,1704,Roberts,08-1423,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",11/8/10,,252,,234,,1,,,0,,,29,,0,12,3,2,1,2,0,0,0,0,80190,8,2,0,3,,9,900,NA,,,1,4,4,113,SSotomayor,8,1,,,,
2010-004,2010-004-01,2010-004-01-01,2010-004-01-01-01-09,12/13/10,5,,131 S. Ct. 565,178 L. Ed. 2d 470,2010 U.S. LEXIS 9597,2010,1704,Roberts,08-1423,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",11/8/10,,252,,234,,1,,,0,,,29,,0,12,3,2,1,2,0,0,0,0,80190,8,2,0,3,,9,900,NA,,,1,4,4,114,EKagan,,,,,,
2010-005,2010-005-01,2010-005-01-01,2010-005-01-01-01-01,1/10/11,2,,131 S. Ct. 704,178 L. Ed. 2d 587,2011 U.S. LEXIS 16,2010,1704,Roberts,Oct-72,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",,,5,37,170,,1,,,0,95,,22,,0,11,2,2,1,3,0,1,0,0,20150,2,1,0,3,,9,900,NA,,111,1,8,0,111,JGRoberts,1,1,1,2,,
2010-005,2010-005-01,2010-005-01-01,2010-005-01-01-01-02,1/10/11,2,,131 S. Ct. 704,178 L. Ed. 2d 587,2011 U.S. LEXIS 16,2010,1704,Roberts,Oct-72,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",,,5,37,170,,1,,,0,95,,22,,0,11,2,2,1,3,0,1,0,0,20150,2,1,0,3,,9,900,NA,,111,1,8,0,114,EKagan,1,1,1,2,,
2010-005,2010-005-01,2010-005-01-01,2010-005-01-01-01-03,1/10/11,2,,131 S. Ct. 704,178 L. Ed. 2d 587,2011 U.S. LEXIS 16,2010,1704,Roberts,Oct-72,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",,,5,37,170,,1,,,0,95,,22,,0,11,2,2,1,3,0,1,0,0,20150,2,1,0,3,,9,900,NA,,111,1,8,0,105,AScalia,1,1,1,2,,
2010-005,2010-005-01,2010-005-01-01,2010-005-01-01-01-04,1/10/11,2,,131 S. Ct. 704,178 L. Ed. 2d 587,2011 U.S. LEXIS 16,2010,1704,Roberts,Oct-72,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",,,5,37,170,,1,,,0,95,,22,,0,11,2,2,1,3,0,1,0,0,20150,2,1,0,3,,9,900,NA,,111,1,8,0,106,AMKennedy,1,1,1,2,,
2010-005,2010-005-01,2010-005-01-01,2010-005-01-01-01-05,1/10/11,2,,131 S. Ct. 704,178 L. Ed. 2d 587,2011 U.S. LEXIS 16,2010,1704,Roberts,Oct-72,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",,,5,37,170,,1,,,0,95,,22,,0,11,2,2,1,3,0,1,0,0,20150,2,1,0,3,,9,900,NA,,111,1,8,0,108,CThomas,1,1,1,2,,
2010-005,2010-005-01,2010-005-01-01,2010-005-01-01-01-06,1/10/11,2,,131 S. Ct. 704,178 L. Ed. 2d 587,2011 U.S. LEXIS 16,2010,1704,Roberts,Oct-72,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",,,5,37,170,,1,,,0,95,,22,,0,11,2,2,1,3,0,1,0,0,20150,2,1,0,3,,9,900,NA,,111,1,8,0,109,RBGinsburg,1,1,1,2,,
2010-005,2010-005-01,2010-005-01-01,2010-005-01-01-01-07,1/10/11,2,,131 S. Ct. 704,178 L. Ed. 2d 587,2011 U.S. LEXIS 16,2010,1704,Roberts,Oct-72,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",,,5,37,170,,1,,,0,95,,22,,0,11,2,2,1,3,0,1,0,0,20150,2,1,0,3,,9,900,NA,,111,1,8,0,110,SGBreyer,1,1,1,2,,
2010-005,2010-005-01,2010-005-01-01,2010-005-01-01-01-08,1/10/11,2,,131 S. Ct. 704,178 L. Ed. 2d 587,2011 U.S. LEXIS 16,2010,1704,Roberts,Oct-72,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",,,5,37,170,,1,,,0,95,,22,,0,11,2,2,1,3,0,1,0,0,20150,2,1,0,3,,9,900,NA,,111,1,8,0,112,SAAlito,1,1,1,2,,
2010-005,2010-005-01,2010-005-01-01,2010-005-01-01-01-09,1/10/11,2,,131 S. Ct. 704,178 L. Ed. 2d 587,2011 U.S. LEXIS 16,2010,1704,Roberts,Oct-72,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",,,5,37,170,,1,,,0,95,,22,,0,11,2,2,1,3,0,1,0,0,20150,2,1,0,3,,9,900,NA,,111,1,8,0,113,SSotomayor,,,,,,
2010-006,2010-006-01,2010-006-01-01,2010-006-01-01-01-01,1/11/11,1,,131 S. Ct. 704,178 L. Ed. 2d 588,2011 U.S. LEXIS 609,2010,1704,Roberts,09-837,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",11/8/10,,167,,27,,1,108,,0,83,,28,,0,11,4,2,1,2,0,0,0,0,120020,12,2,0,7,4,3,370,NA,111,111,1,8,0,111,JGRoberts,1,2,2,2,,
2010-006,2010-006-01,2010-006-01-01,2010-006-01-01-01-02,1/11/11,1,,131 S. Ct. 704,178 L. Ed. 2d 588,2011 U.S. LEXIS 609,2010,1704,Roberts,09-837,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",11/8/10,,167,,27,,1,108,,0,83,,28,,0,11,4,2,1,2,0,0,0,0,120020,12,2,0,7,4,3,370,NA,111,111,1,8,0,105,AScalia,1,1,2,2,,
2010-006,2010-006-01,2010-006-01-01,2010-006-01-01-01-03,1/11/11,1,,131 S. Ct. 704,178 L. Ed. 2d 588,2011 U.S. LEXIS 609,2010,1704,Roberts,09-837,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",11/8/10,,167,,27,,1,108,,0,83,,28,,0,11,4,2,1,2,0,0,0,0,120020,12,2,0,7,4,3,370,NA,111,111,1,8,0,106,AMKennedy,1,1,2,2,,
